binutils CVE-2017-15025
coreutils gnubug-19784
coreutils gnubug-25003
coreutils gnubug-25023
jasper CVE-2016-8691
jasper CVE-2016-9557
libjpeg CVE-2012-2806
libjpeg CVE-2017-15232
libjpeg CVE-2018-14498
libjpeg CVE-2018-19664
libtiff bugzilla-2611
libtiff bugzilla-2633
libtiff CVE-2016-10094
libtiff CVE-2016-3186
libtiff CVE-2016-5314
libtiff CVE-2016-5321
libtiff CVE-2016-9273
libtiff CVE-2016-9532
libtiff CVE-2017-7595
libtiff CVE-2017-7601
libxml2 CVE-2012-5134
libxml2 CVE-2016-1838
libxml2 CVE-2017-5969
